iter	Passed	Remaining
953	7817	376
954	7825	368
955	7832	360
956	7840	352
957	7848	344
958	7855	335
959	7863	327
960	7872	319
961	7880	311
962	7888	303
963	7896	294
964	7904	286
965	7912	278
966	7920	270
967	7928	262
968	7936	253
969	7944	245
970	7952	237
971	7961	229
972	7969	221
973	7977	212
974	7985	204
975	7993	196
976	8001	188
977	8009	180
978	8017	171
979	8025	163
980	8033	155
981	8041	147
982	8050	139
983	8058	131
984	8066	122
985	8074	114
986	8082	106
987	8091	98
988	8099	90
989	8107	81
990	8116	73
991	8125	65
992	8133	57
993	8141	49
994	8149	40
995	8157	32
996	8165	24
997	8172	16
998	8180	8
999	8189	0
